,LIMIT_BAL,80%,match 100,MatchA,Match J,Match JUN,MatchM,default,STAT_AUG,BILL_JUL,PAID_AUG,Bal_AUG,STAT_JUL,BILL_JUN,PAID_JUL,Bal_JUL,STAT_JUN,BILL_MAY,PAID_JUN,Bal_JUN,STAT_MAY,BILL_APR,PAID_MAY,Bal_MAY
0,50000,40000,1,1,1,1,1,1,0,92309,2784,89525,0,93880,2603,91277,0,99418,10000,89418,0,101392,3164,98228
1,30000,24000,0,0,0,0,0,0,0,19273,2000,17273,0,16469,2000,14469,0,14670,417,14253,0,11214,1500,9714
2,260000,208000,0,0,0,0,0,0,0,101721,4132,97589,0,76699,3410,73289,0,56738,2600,54138,0,39134,1800,37334
3,200000,160000,0,0,0,0,0,0,0,26988,2000,24988,0,25237,600,24637,0,22131,3000,19131,0,13774,4000,9774
4,50000,40000,0,0,0,0,0,0,0,16342,1278,15064,0,17653,1589,16064,0,17697,633,17064,0,18068,656,17412
5,150000,120000,0,0,0,0,0,0,0,24134,1699,22435,0,24635,1200,23435,0,29032,5000,24032,0,29766,1214,28552
6,400000,320000,0,0,0,0,0,1,-2,330,330,0,-2,330,330,0,-2,330,330,0,-2,330,330,0
7,360000,288000,0,0,0,0,0,0,-1,1340,1340,0,-1,1650,1650,0,-1,4350,4350,0,-2,4792,4792,0
8,160000,128000,0,0,0,0,0,0,2,400,0,400,2,0,0,0,2,20818,20818,0,-1,20818,0,20818
9,500000,400000,0,0,0,0,0,0,-1,367979,368199,-220,-1,294969,6486,288483,0,189612,234,189378,0,128459,90,128369
10,70000,56000,0,1,0,0,0,0,0,67533,1751,65782,0,28653,969,27684,0,29253,1004,28249,0,26185,938,25247
11,20000,16000,0,0,0,0,0,0,-2,0,0,0,-2,0,0,0,-2,0,0,0,-2,0,0,0
12,230000,184000,0,0,0,0,0,0,0,44477,2353,42124,0,39998,5000,34998,0,23278,0,23278,0,27775,8000,19775
13,200000,160000,0,0,0,0,0,1,-1,10323,3014,7309,0,8440,1027,7413,0,4963,2022,2941,0,10222,10017,205
14,140000,112000,0,0,0,0,0,0,0,44739,2027,42712,0,43455,1800,41655,0,43980,1600,42380,0,44614,1750,42864
15,50000,40000,0,0,0,0,0,0,2,30935,1663,29272,0,14010,1544,12466,0,19110,5500,13610,0,19500,390,19110
16,70000,56000,0,0,0,0,0,0,0,29314,1773,27541,0,28844,1181,27663,0,29443,1215,28228,0,30101,1297,28804
17,200000,160000,0,0,0,0,0,1,-1,0,0,0,-1,0,0,0,-2,0,0,0,-2,0,0,0
18,320000,256000,0,0,0,0,0,0,-1,7809,7935,-126,-1,5238,5238,0,-1,8594,8594,0,-1,3743,3743,0
19,20000,16000,0,1,0,1,1,0,0,18578,2000,16578,0,17989,2000,15989,0,19533,2000,17533,0,20039,831,19208
20,120000,96000,0,0,0,0,0,1,2,27570,600,26970,2,28318,1500,26818,2,29217,1500,27717,2,28598,0,28598
21,20000,16000,0,0,1,1,1,0,0,16686,1000,15686,2,17406,1000,16406,0,18123,1000,17123,0,19680,1864,17816
22,500000,400000,0,1,1,1,1,1,3,499936,0,499936,2,505507,14000,491507,0,484612,16500,468112,0,419643,16000,403643
23,10000,8000,0,0,0,1,1,1,2,7996,1290,6706,0,9004,1298,7706,0,9180,474,8706,0,9371,487,8884
24,150000,120000,0,0,0,0,0,0,-1,16719,16732,-13,-1,8568,8593,-25,-1,797,799,-2,-2,1158,1161,-3
25,80000,64000,0,0,0,0,0,0,2,8109,4500,3609,2,7849,21,7828,2,0,0,0,2,0,0,0
26,360000,288000,0,0,0,0,0,0,-2,430,436,-6,-2,1982,1991,-9,-2,211250,211250,0,-1,215670,7762,207908
27,320000,256000,0,0,0,0,0,0,0,201913,9000,192913,0,103278,6000,97278,0,62891,3000,59891,0,64948,3000,61948
28,50000,40000,0,1,1,1,1,0,0,51057,2004,49053,0,49496,1900,47596,0,50688,2001,48687,0,50517,2200,48317
29,200000,160000,0,0,0,0,0,0,0,116545,4500,112045,0,120396,5800,114596,0,121486,4500,116986,0,121518,5000,116518
30,20000,16000,0,0,0,0,0,0,-1,0,0,0,-1,597,597,0,-1,0,0,0,-1,4740,4740,0
31,30000,24000,0,0,0,0,0,0,-1,390,390,0,-1,780,780,0,-1,390,0,390,0,390,390,0
32,140000,112000,0,0,0,0,0,0,-1,0,0,0,-2,0,0,0,-2,0,0,0,-2,0,0,0
33,390000,312000,0,0,0,0,0,0,-2,6548,6548,0,-2,8976,8976,0,-2,909,909,0,-2,17682,17682,0
34,200000,160000,0,0,0,0,0,1,-1,726,726,0,-1,726,0,726,0,495,495,0,-1,1402,1562,-160
35,180000,144000,0,0,0,0,0,0,-2,21645,21849,-204,-2,5800,5829,-29,-2,24283,24404,-121,-2,11545,11602,-57
36,150000,120000,0,0,0,0,0,0,2,1430,1430,0,-1,810,810,0,-1,786,786,0,-1,447,447,0
37,60000,48000,0,1,1,1,1,0,0,57920,2269,55651,0,58064,2277,55787,0,55928,2002,53926,0,57108,2081,55027
38,200000,160000,0,1,1,0,0,0,0,181617,6900,174717,0,181994,7022,174972,0,150013,5300,144713,0,150283,5368,144915
39,190000,152000,0,0,0,0,0,0,0,110000,10000,100000,0,115674,5674,110000,0,121313,11313,110000,0,15538,5538,10000
40,10000,8000,0,0,1,1,1,1,0,8939,1159,7780,0,9533,1140,8393,0,9692,692,9000,0,9829,829,9000
41,50000,40000,0,0,0,0,0,0,0,16383,1303,15080,0,17837,1757,16080,0,15791,711,15080,0,15988,600,15388
42,210000,168000,0,0,0,0,0,0,0,59658,2753,56905,0,60466,2400,58066,0,61593,2255,59338,0,65163,4767,60396
43,50000,40000,0,1,1,0,0,0,0,46836,2500,44336,0,48635,3000,45635,0,19373,1500,17873,0,20129,2000,18129
44,50000,40000,0,1,1,0,0,0,0,48265,1967,46298,0,43451,1400,42051,0,19790,396,19394,0,17790,0,17790
45,140000,112000,0,1,0,0,0,0,0,137477,6405,131072,0,110865,4819,106046,0,69217,3091,66126,0,48018,2477,45541
